"","seti.name","seti.address","lon","lat"
"1","义利饼屋","多家连锁店",116.351599,40.0220018
"3","迪力享","多家连锁店",116.4080767,39.9621143
"6","金凤成祥","多家连锁店",116.334611,39.992447
"9","CKC冰淇淋","多家连锁店",116.3130746,39.9813232
"10","稻香春","多家连锁店",116.333993,40.039401
"12","宫颐府","多家连锁店",116.365463,39.759054
"14","宏状元粥店","多家连锁店",116.4685106,39.9477692
"15","久久丫鸭颈王","多家连锁店",116.4691651,39.994079
"16","香河肉饼","多家连锁店",117.00167,39.764538
"17","丽华快餐","多家连锁店",116.424874,39.996523
"18","老家肉饼","多家连锁店",116.418098,39.9140239
"19","浦五房","多家连锁店",116.411845,39.913539
"24","莱双扬解馋坊","多家连锁店",116.136285,40.138566
"25","汇力发西饼屋","多家连锁店",116.372459,39.946598
"27","好伦哥","多家连锁店",116.4007935,39.9982482
"28","哈哈镜鸭脖子","多家连锁店",116.4302619,39.9407077
"29","老大碗刨冰","多家连锁店",121.490868,31.279629
"32","丰裕生煎","多家连锁店",121.4891489,31.2348802
"33","久久丫鸭颈王","多家连锁店",116.4691651,39.994079
"34","喜年来","多家连锁店",121.455795,31.251007
"36","大家旺","多家连锁店",121.4403204,31.213003
"37","比巴馒头","多家连锁店",121.469761,31.227353
"38","麦乐送","多家连锁店",121.5410054,31.1844346
"39","生东食品","多家连锁店",121.611949,31.293474
"40","吉祥馄饨","多家连锁店",116.407413,39.904214
"42","新亚大包","多家连锁店",121.491182,31.253434
"43","元祖","多家连锁店",116.466702,39.931258
"44","德兴坊西点","多家连锁店",121.4578805,31.2097121
"45","西饼小世界","多家连锁店",121.4827674,31.4036724
"46","山林熟食","多家连锁店",121.4670525,31.2200174
"47","帕莎俪妮意大利冰淇淋","多家连锁店",121.476039,31.232996
"49","零食多","多家连锁店",121.5185399,31.1837317
"50","广良兴","多家连锁店",121.480704,31.233115
"51","新雅面包房","多家连锁店",121.4427223,31.2827968
"53","必胜宅急送","多家连锁店",121.61009,31.25707
"54","静安面包房","多家连锁店",121.44553,31.217918
"55","星期一便当","多家连锁店",121.6220464,31.218998
"56","西北郎烧烤","多家连锁店",121.496552,31.274656
"60","苹果园","多家连锁店",116.1934758,39.929995
"62","天喔一佳","多家连锁店",116.669462,39.965317
"63","宜芝多","多家连锁店",121.438597,31.191995
"65","吉祥馄饨","多家连锁店",116.407413,39.904214
"66","文虎酱鸭","多家连锁店",121.663143,31.294997
"67","肯德基宅急送","多家连锁店",116.407413,39.904214
"69","瑞莱新侨食品","多家连锁店",121.5250817,31.5815962
"70","利奥尼达斯比利时新鲜巧克力","多家连锁店",121.514808,31.302662
"71","东方既白","多家连锁店",121.485131,31.248419
"73","丽华快餐","多家连锁店",116.424874,39.996523
"76","新长发栗子","多家连锁店",121.455208,31.224624
"77","青月便当","多家连锁店",121.5136024,31.2884799
"78","杏花楼","多家连锁店",121.47942,31.2363
"79","光明牛奶棚","多家连锁店",121.469661,31.227823
"80","杏家庄","多家连锁店",121.5189437,31.2283669
"82","立丰食品","多家连锁店",121.383424,31.31513
"83","章鱼小丸子铺","多家连锁店",121.479787,31.25601
"84","阿明食品","多家连锁店",121.3697225,31.2194438
"86","香特莉西饼","多家连锁店",121.343204,31.414249
"87","翡冷翠意大利冰淇淋","多家连锁店",121.4931279,31.1848256
"89","城市超市面包房","多家连锁店",NA,NA
"91","茶风暴","多家连锁店",121.441097,31.321328
"92","广茂香","多家连锁店",121.4804858,31.2529085
"93","白玉兰面包房","多家连锁店",121.441416,31.192651
"94","金师傅馄饨","多家连锁店",121.4701579,31.2098009
"95","振鼎鸡","多家连锁店",121.422694,31.214391
"96","土家族掉渣饼王","多家连锁店",121.433898,31.2229
"97","土耳其烤肉饼小摊","多家连锁店",NA,NA
"102","巴比馒头","多家连锁店",121.5805311,31.2842044
"103","欧特麦蛋挞坊","多家连锁店",121.515382,31.303662
"105","老磨坊","多家连锁店",-79.495132,43.650101
"106","百味林","多家连锁店",121.5534428,31.2866464
"108","吴越人家面馆","多家连锁店",121.4605031,31.2213716
"109","来伊份","多家连锁店",116.2732365,40.188553
"112","沈大成","多家连锁店",121.478316,31.23576
"119","第五街","多家连锁店",116.416911,39.909187
"120","好想你枣","多家连锁店",121.4864449,31.2120802
"121","真锅咖啡馆","多家连锁店",121.539149,31.230074
"122","米宝宝快餐店","多家连锁店",126.660663,45.73555
"128","仙踪林","多家连锁店",116.3130746,39.9813232
"131","今牌杭州小核桃专卖店","多家连锁店",121.464028,31.245
